BRTV北京卫视[高清],rtp://239.3.1.241:8000
BRTV新闻[高清],rtp://239.3.1.159:8000
BRTV影视[高清],rtp://239.3.1.158:8000
BRTV文艺[高清],rtp://239.3.1.242:8000
BRTV财经[高清],rtp://239.3.1.116:8000
BRTV生活[高清],rtp://239.3.1.117:8000
BRTV青年[高清],# rtp://239.3.1.118:8000
BRTV纪实科教[高清],rtp://239.3.1.115:8000
BRTV卡酷少儿[高清],rtp://239.3.1.189:8000
BRTV冬奥纪实[高清],# rtp://239.3.1.243:8000
BRTV冬奥纪实[超清HDR],# rtp://239.3.1.120:8000
BRTV冬奥纪实[超清],# rtp://239.3.1.121:8000
CCTV-1 综合[高清],rtp://239.3.1.129:8008
CCTV-2 财经[高清],rtp://239.3.1.60:8084
CCTV-3 综艺[高清],rtp://239.3.1.172:8001
CCTV-4 中文国际[高清],rtp://239.3.1.105:8092
CCTV-5 体育[高清],rtp://239.3.1.173:8001
CCTV-5+ 体育赛事[高清],rtp://239.3.1.130:8004
CCTV-6 电影[高清],rtp://239.3.1.174:8001
CCTV-7 国防军事[高清],rtp://239.3.1.61:8104
CCTV-8 电视剧[高清],rtp://239.3.1.175:8001
CCTV-9 纪录[高清],rtp://239.3.1.62:8112
CCTV-10 科教[高清],rtp://239.3.1.63:8116
CCTV-11 戏曲[高清],rtp://239.3.1.152:8120
CCTV-12 社会与法[高清],rtp://239.3.1.64:8124
CCTV-13 新闻[高清],rtp://239.3.1.124:8128
CCTV-14 少儿[高清],rtp://239.3.1.65:8132
CCTV-15 音乐[高清],rtp://239.3.1.153:8136
CCTV-16 奥林匹克[超清HDR],# rtp://239.3.1.183:8001
CCTV-16 奥林匹克[高清],# rtp://239.3.1.184:8001
CCTV-17 农业农村[高清],rtp://239.3.1.151:8144
经典电影,rtp://239.3.1.195:9024
纪实人文[高清],rtp://239.3.1.212:8060
金鹰纪实[高清],rtp://239.3.1.58:8156
湖南卫视[高清],rtp://239.3.1.132:8012
东方卫视[高清],rtp://239.3.1.136:8032
浙江卫视[高清],rtp://239.3.1.137:8036
江苏卫视[高清],rtp://239.3.1.135:8028
深圳卫视[高清],rtp://239.3.1.134:8020
广东卫视[高清],rtp://239.3.1.142:8048
安徽卫视[高清],rtp://239.3.1.211:8064
天津卫视[高清],rtp://239.3.1.141:1234
重庆卫视[高清],rtp://239.3.1.122:8160
山东卫视[高清],rtp://239.3.1.209:8052
黑龙江卫视[高清],rtp://239.3.1.133:8016
河北卫视[高清],rtp://239.3.1.148:8072
辽宁卫视[高清],rtp://239.3.1.210:8056
湖北卫视[高清],rtp://239.3.1.138:8044
吉林卫视[高清],rtp://239.3.1.240:8172
贵州卫视[高清],rtp://239.3.1.149:8076
东南卫视[高清],rtp://239.3.1.156:8148
江西卫视[高清],rtp://239.3.1.123:8164
海南卫视,rtp://239.3.1.45:8304
云南卫视,rtp://239.3.1.26:8108
兵团卫视,rtp://239.3.1.144:4120
厦门卫视,rtp://239.3.1.143:4120
四川卫视,rtp://239.3.1.29:8288
大湾区卫视,rtp://239.3.1.161:8001
宁夏卫视,rtp://239.3.1.46:8124
山西卫视,rtp://239.3.1.42:8172
广西卫视,rtp://239.3.1.39:8300
新疆卫视,rtp://239.3.1.48:8160
河南卫视,rtp://239.3.1.27:8128
甘肃卫视,rtp://239.3.1.49:8188
西藏卫视,rtp://239.3.1.47:8164
三沙卫视,rtp://239.3.1.155:4120
陕西卫视,rtp://239.3.1.41:8140
青海卫视,rtp://239.3.1.44:8184
内蒙古卫视,rtp://239.3.1.43:8176
中国交通[高清],rtp://239.3.1.188:8001
CETV1[高清],rtp://239.3.1.57:8152
CETV2,rtp://239.3.1.54:4120
CETV3,rtp://239.3.1.55:4120
CETV4,rtp://239.3.1.56:4120
少儿动画,rtp://239.3.1.199:9000
热播剧场,rtp://239.3.1.194:9020
